club,footballer,id,goals,assists,appearances
Liverpool,Mohamed Salah,5178,29,18,38
Liverpool,Luis Díaz,66669,13,5,36
Liverpool,Cody Gakpo,32894,10,4,35
Liverpool,Dominik Szoboszlai,33231,6,6,36
Liverpool,Diogo Jota,19758,6,3,26
Liverpool,Alexis Mac Allister,63633,5,5,35
Liverpool,Darwin Núñez,70287,5,2,30
Liverpool,Virgil van Dijk,5140,3,1,37
Liverpool,Trent Alexander-Arnold,14732,3,6,33
Liverpool,Curtis Jones,23815,3,3,33
Liverpool,Ibrahima Konaté,23593,1,2,31
Liverpool,Harvey Elliot,33185,1,2,18
Liverpool,Ryan Gravenberch,49909,0,4,37
Liverpool,Kostas Tsimikas,16006,0,1,18
Liverpool,Alisson Becker,20559,0,0,28
Liverpool,Wataru Endo,43586,0,0,20
Liverpool,Conor Bradley,68582,0,0,19
Liverpool,Jarell Quansah,51557,0,0,13
Liverpool,Caoimhín Kelleher,14723,0,0,10
Liverpool,Joe Gomez,10651,0,0,9
Liverpool,Federico Chiesa,15802,0,0,6
Liverpool,Jayden Danns,119292,0,0,1
Liverpool,Vítězslav Jaroš,24807,0,0,1
